iter	Accuracy	Logloss
0	0.941576087	0.6512891491
1	0.9442934783	0.6147116877
2	0.9429347826	0.5762609562
3	0.9510869565	0.5405054352
4	0.9538043478	0.5094908062
5	0.9565217391	0.4782437258
6	0.9592391304	0.4522320583
7	0.9592391304	0.4298439388
8	0.9578804348	0.4095402351
9	0.9605978261	0.3888280841
10	0.9619565217	0.3718023229
11	0.9619565217	0.3549685431
12	0.9633152174	0.3405674629
13	0.9619565217	0.3274555656
14	0.964673913	0.3124368509
15	0.9633152174	0.2989802105
16	0.9673913043	0.2879922314
17	0.9673913043	0.2781678881
18	0.9673913043	0.2694332681
19	0.96875	0.2585819442
20	0.96875	0.2503710615
21	0.9701086957	0.2414531538
22	0.96875	0.2337178036
23	0.9701086957	0.225722786
24	0.96875	0.2184151836
25	0.9701086957	0.2116013216
26	0.9714673913	0.2059379337
27	0.9714673913	0.1999758363
28	0.9714673913	0.1948908519
29	0.9714673913	0.1895221468
30	0.9714673913	0.1849161811
31	0.9714673913	0.1808586287
32	0.972826087	0.1759703202
33	0.972826087	0.1719059822
34	0.9714673913	0.1672286779
35	0.9714673913	0.1627847457
36	0.9714673913	0.1595603302
37	0.9714673913	0.1559158021
38	0.9714673913	0.1533574903
39	0.9714673913	0.1495396147
40	0.9714673913	0.1464594871
41	0.972826087	0.1433527423
42	0.972826087	0.140302298
43	0.972826087	0.1385997857
44	0.972826087	0.1363434046
45	0.972826087	0.1344336002
46	0.972826087	0.1322344873
47	0.972826087	0.1300327075
48	0.9741847826	0.1283476783
49	0.9755434783	0.1259347459
50	0.9769021739	0.1233132959
51	0.9755434783	0.1214929147
52	0.9769021739	0.1200923501
53	0.9755434783	0.1185257487
54	0.9755434783	0.1173216311
55	0.9769021739	0.1157964037
56	0.9755434783	0.1143211292
57	0.9769021739	0.1129880151
58	0.9769021739	0.1114207784
59	0.9769021739	0.1099939856
60	0.9769021739	0.1083614599
61	0.9769021739	0.106952254
62	0.9769021739	0.105693558
63	0.9769021739	0.10441134
64	0.9769021739	0.1033332596
65	0.9769021739	0.1020564739
66	0.9769021739	0.1008450074
67	0.9769021739	0.09954747706
68	0.9769021739	0.09854414107
69	0.9782608696	0.09728300993
70	0.9782608696	0.09628325676
71	0.9782608696	0.0951224823
72	0.9782608696	0.0944793303
73	0.9782608696	0.09347094851
74	0.9782608696	0.09232583688
75	0.9782608696	0.09141969309
76	0.9782608696	0.09086923779
77	0.9796195652	0.09004775512
78	0.9796195652	0.08903185843
79	0.9809782609	0.08802196492
80	0.9809782609	0.08735260385
81	0.9809782609	0.08663901134
82	0.9809782609	0.08586875541
83	0.9809782609	0.08536695085
84	0.9809782609	0.08463158933
85	0.9809782609	0.08383688693
86	0.9809782609	0.08296878692
87	0.9809782609	0.08199228204
88	0.9809782609	0.08139039136
89	0.9809782609	0.08107956346
90	0.9809782609	0.08035301845
91	0.9823369565	0.07960755031
92	0.9823369565	0.07869663769
93	0.9823369565	0.07818682349
94	0.9823369565	0.07780252081
95	0.9823369565	0.07719458937
96	0.9823369565	0.07679085938
97	0.9823369565	0.07604783423
98	0.9836956522	0.07556876008
99	0.9836956522	0.0751241792
100	0.9836956522	0.07414776717
101	0.9836956522	0.07358367314
102	0.9836956522	0.0729018126
103	0.9836956522	0.07150193848
104	0.9836956522	0.07111557801
105	0.9836956522	0.07063917768
106	0.9836956522	0.07030843537
107	0.9836956522	0.06908604864
108	0.9836956522	0.06853804609
109	0.9836956522	0.0682312296
110	0.9836956522	0.06785773391
111	0.9836956522	0.06692383897
112	0.9836956522	0.06647724184
113	0.9836956522	0.06619893668
114	0.9836956522	0.06590298428
115	0.9836956522	0.06521778638
116	0.9850543478	0.06469242203
117	0.9850543478	0.06429317783
118	0.9850543478	0.06386998895
119	0.9850543478	0.06330474564
120	0.9864130435	0.0627810955
121	0.9864130435	0.06220343228
122	0.9864130435	0.06187453865
123	0.9864130435	0.06121693118
124	0.9864130435	0.06071448161
125	0.9864130435	0.06009804877
126	0.9864130435	0.05941610414
127	0.9864130435	0.05866866689
128	0.9864130435	0.05820162874
129	0.9864130435	0.05772466613
130	0.9864130435	0.05722910104
131	0.9864130435	0.05693641428
132	0.9864130435	0.05645690618
133	0.9864130435	0.05616275191
134	0.9864130435	0.05576039795
135	0.9864130435	0.05538884488
136	0.9864130435	0.05528087163
137	0.9864130435	0.05502982677
138	0.9864130435	0.05434755513
139	0.9864130435	0.05406664541
140	0.9864130435	0.05372542767
141	0.9864130435	0.05361736844
142	0.9864130435	0.05315866075
143	0.9864130435	0.05263036596
144	0.9864130435	0.0522468284
145	0.9864130435	0.05202262885
146	0.9864130435	0.05158804481
147	0.9864130435	0.05147870971
148	0.9864130435	0.05096970776
149	0.9877717391	0.05068090213
150	0.9877717391	0.05060925378
151	0.9877717391	0.05037947808
152	0.9877717391	0.04997168365
153	0.9877717391	0.04972778861
154	0.9877717391	0.04951788578
155	0.9904891304	0.04908899517
156	0.9904891304	0.04877500345
157	0.9904891304	0.04854785284
158	0.9904891304	0.04825632945
159	0.9904891304	0.04809408674
160	0.9904891304	0.04778553667
161	0.9904891304	0.04754821026
162	0.9904891304	0.04715750144
163	0.9904891304	0.04666398801
164	0.9904891304	0.04633267304
165	0.9918478261	0.04593294351
166	0.9918478261	0.04577092171
167	0.9918478261	0.0453953636
168	0.9918478261	0.04511014455
169	0.9932065217	0.04471542518
170	0.9932065217	0.04444040933
171	0.9932065217	0.04427430849
172	0.9932065217	0.04417266686
173	0.9932065217	0.04388660484
174	0.9932065217	0.04368483452
175	0.9932065217	0.04344004613
176	0.9932065217	0.04315011049
177	0.9932065217	0.0428730216
178	0.9932065217	0.04258246322
179	0.9932065217	0.04233991779
180	0.9932065217	0.0420786159
181	0.9932065217	0.0419303062
182	0.9932065217	0.04162004333
183	0.9932065217	0.04148222092
184	0.9932065217	0.04112964259
185	0.9932065217	0.04073254189
186	0.9932065217	0.04043415315
